id,name
1,Badminton
2,Basketball
3,Dragonboat Team
4,Floorball
5,Netball
6,Soccer
7,Squash
8,Table Tennis
9,Tchoukball
10,Tennis
11,Touch Rugby
12,Volleyball
13,Chinese Cultural Society
14,Chinese Orchestra
15,Choir
16,Dance Society
17,English Drama Club
18,Guzheng Ensemble
19,Photographic Society
20,Symphonic Band
21,AEP Club
22,AVA Club
23,Biz Club
24,Channel News Nanyang
25,Chinese Literary Club
26,Red Cross Youth (Nanyang Junior College Chapter)
27,Interact Club
28,Gym Club
29,Malay Cultural Society
30,Nanyang Debaters and Orators (NYDO)
31,Outdoor Activities Club
32,Robotics Club
33,The Drum (Media Resource Library)
34,Acoustic Movement
35,Chinese Debate
36,Diabolo
37,European Society
38,Green Alliance
39,HACAS (History &amp; Current Affairs Society)
40,Hanja
41,J-fire
42,Korzy
43,Mathematics Club
44,Ministry of Recreational Games
45,Nanyang Astronomer’s Club (NYAstro)
46,Nanyang Calligraphy and Lettering (NYCal)
47,Nanyang Law Society
48,Nanyang Musicians Club
49,Nanyang S.Lab
50,Nanyang Strings Ensemble (NYSE)
51,NY Alchemy
52,NYArts
53,NY Chess Club
54,NYCubers
55,NYMagic
56,NYpianists
57,NY Voices
58,NY Writer’s Circle
59,Paws On Parade
